ALBUM,SONG,STREAMS,DAILY
Youth,Save Me - Japanese Ver.,"5,761,064","31,332"
Youth,Wishing On A Star,"15,197,648","163,540"
The Most Beautiful Moment in Life: Young Forever,Burning Up (Fire),"263,051,977","1,894,672"
The Most Beautiful Moment in Life: Young Forever,Butterfly - Alternative Mix,"11,712,269","66,984"
The Most Beautiful Moment in Life: Young Forever,Butterfly - Prologue Mix,"31,393,753","212,200"
The Most Beautiful Moment in Life: Young Forever,Epilogue: Young Forever,"94,816,984","708,406"
The Most Beautiful Moment in Life: Young Forever,House of Cards - Full Length Edition,"106,959,934","1,033,407"
The Most Beautiful Moment in Life: Young Forever,I Need U - Remix,"10,825,725","59,423"
The Most Beautiful Moment in Life: Young Forever,I Need U - Urban Mix,"18,054,156","97,908"
The Most Beautiful Moment in Life: Young Forever,Love Is Not Over - Full Length Edition,"43,857,306","326,329"
The Most Beautiful Moment in Life: Young Forever,Run - Alternative Mix,"10,776,236","61,602"
The Most Beautiful Moment in Life: Young Forever,Run - Ballad Mix,"19,729,235","107,915"
The Most Beautiful Moment in Life: Young Forever,Save Me,"252,012,588","1,408,237"
Love Yourself ??? 'Her',Best Of Me,"224,641,173","173,058,068"
Love Yourself ??? 'Her',DNA,"506,938,757","272,740,907"
Love Yourself ??? 'Her',Go Go,"290,215,906","185,669,302"
Love Yourself ??? 'Her',Intro: Serendipity,"112,489,486","-239,008,683"
Love Yourself ??? 'Her',MIC Drop,"179,178,331","-44,203,936"
Love Yourself ??? 'Her',Outro: Her,"81,646,779","-422,228,750"
Love Yourself ??? 'Her',Pied Piper,"246,628,202","-41,903,113"
Love Yourself ??? 'Her',Skit: Billboard Music Awards Speech,"14,590,992","-97,415,575"
Love Yourself ??? 'Her',dimple,"232,809,242","54,726,892"
You Never Walk Alone,A Supplementary Story: You Never Walk Alone,"51,832,108","-29,128,857"
You Never Walk Alone,Not Today,"235,455,212","-8,962,632"
You Never Walk Alone,Outro: Wings,"105,312,001","90,773,388"
You Never Walk Alone,Spring Day,"354,323,502","123,826,858"
Love Yourself ??? 'Answer',Airplane pt.2,"251,705,787","1,952,475"
Love Yourself ??? 'Answer',Anpanman,"255,366,472","1,567,547"
Love Yourself ??? 'Answer',Answer : Love Myself,"149,284,925","988,677"
Love Yourself ??? 'Answer',DNA - Pedal 2 LA Mix,"22,527,905","214,954"
Love Yourself ??? 'Answer',Epiphany,"202,864,512","1,637,058"
Love Yourself ??? 'Answer',Euphoria,"396,070,001","4,349,824"
Love Yourself ??? 'Answer',FAKE LOVE,"566,948,687","3,672,803"
Love Yourself ??? 'Answer',FAKE LOVE - Rocking Vibe Mix,"58,593,649","380,368"
Love Yourself ??? 'Answer',I'm Fine,"156,533,530","925,683"
Love Yourself ??? 'Answer',IDOL,"163,211,326","597,926"
Love Yourself ??? 'Answer',IDOL,"341,469,459","2,732,311"
Love Yourself ??? 'Answer',MIC Drop (Steve Aoki Remix) - Full Length Edition,"247,645,839","1,846,960"
Love Yourself ??? 'Answer',Magic Shop,"258,957,121","1,909,613"
Love Yourself ??? 'Answer',Serendipity - Full Length Edition,"210,061,248","1,603,537"
Love Yourself ??? 'Answer',Singularity,"230,384,934","2,179,083"
Love Yourself ??? 'Answer',Tear,"141,944,930","686,249"
Love Yourself ??? 'Answer',The Truth Untold,"286,902,529","1,846,460"
Love Yourself ??? 'Answer',Trivia ??? : Just Dance,"86,953,363","635,894"
Love Yourself ??? 'Answer',Trivia ??? : Love,"76,597,922","609,173"
Love Yourself ??? 'Answer',Trivia ??? : Seesaw,"173,366,712","1,410,767"
Love Yourself ??? 'Tear',134340,"97,356,639","889,093"
Love Yourself ??? 'Tear',Love Maze,"164,703,741","1,356,948"
Love Yourself ??? 'Tear',Paradise,"115,554,923","806,631"
Love Yourself ??? 'Tear',So What,"146,021,558","934,507"
FACE YOURSELF,??????????????? - Japanese ver.,"20,522,848","82,540"
FACE YOURSELF,Best Of Me - Japanese ver.,"12,314,203","59,840"
FACE YOURSELF,Crystal Snow,"83,259,370","632,204"
FACE YOURSELF,DNA - Japanese ver.,"17,358,099","76,701"
FACE YOURSELF,Don't Leave Me,"125,471,430","533,149"
FACE YOURSELF,Go Go - Japanese ver.,"12,262,162","53,437"
FACE YOURSELF,INTRO : Ringwanderung,"15,548,431","47,984"
FACE YOURSELF,Let Go,"129,079,425","669,961"
