NAME,PREV
MY WORLD,"652,395,729"
MY WORLD 2.0,"1,575,312,031"
NEVER SAY NEVER,"273,563,691"
UNDER THE MISTLETOE,"1,054,612,513"
BELIEVE,"1,690,065,940"
BELIEVE ACOUSTIC,"521,388,138"
JOURNALS,"973,287,409"
PURPOSE,"8,454,132,303"
CHANGES,"2,652,891,999"
JUSTICE,"5,530,932,998"
