ALBUM,SONG,PREV
reputation,King Of My Heart,"122,629,016"
reputation,Look What You Made Me Do,"754,472,781"
reputation,New Year???s Day,"97,109,912"
reputation,So It Goes...,"89,144,534"
reputation,This Is Why We Can't Have Nice Things,"109,219,002"
reputation Stadium Tour Surprise Song Playlist,Babe,"93,442,479"
reputation Stadium Tour Surprise Song Playlist,I Don???t Wanna Live Forever (Fifty Shades Darker),"1,279,442,030"
Lover,Afterglow,"150,941,055"
Lover,Cornelia Street,"145,977,257"
Lover,Cruel Summer,"335,082,475"
Lover,Daylight,"107,827,244"
Lover,Death By A Thousand Cuts,"134,003,990"
Lover,False God,"104,398,778"
Lover,I Forgot That You Existed,"221,950,773"
Lover,I Think He Knows,"138,662,342"
Lover,It???s Nice To Have A Friend,"72,492,147"
Lover,London Boy,"152,912,933"
Lover,Lover,"590,986,989"
Lover,ME! (feat. Brendon Urie of Panic! At The Disco),"665,158,055"
Lover,Miss Americana & The Heartbreak Prince,"133,383,941"
Lover,Paper Rings,"261,601,044"
Lover,Soon You???ll Get Better (feat. The Chicks),"84,290,505"
Lover,The Archer,"179,248,249"
Lover,The Man,"368,153,589"
Lover,You Need To Calm Down,"650,004,504"
evermore,???tis the damn season,"123,233,241"
evermore,champagne problems,"265,888,322"
evermore,closure,"64,628,704"
evermore,coney island (feat. The National),"92,497,435"
evermore,cowboy like me,"86,362,580"
evermore,dorothea,"85,490,675"
evermore,evermore (feat. Bon Iver),"104,854,425"
evermore,gold rush,"147,052,591"
evermore,happiness,"98,148,240"
evermore,ivy,"105,673,019"
evermore,long story short,"99,104,905"
evermore,marjorie,"80,070,101"
evermore,"no body, no crime (feat. HAIM)","146,099,971"
evermore,tolerate it,"118,014,279"
evermore,willow,"456,548,611"
folklore: the long pond studio sessions,august,"311,832,317"
folklore: the long pond studio sessions,august - the long pond studio sessions,"9,053,620"
folklore: the long pond studio sessions,betty,"173,330,414"
folklore: the long pond studio sessions,betty - the long pond studio sessions,"5,221,845"
folklore: the long pond studio sessions,cardigan,"446,295,970"
folklore: the long pond studio sessions,cardigan - the long pond studio sessions,"8,357,861"
folklore: the long pond studio sessions,epiphany,"103,611,690"
folklore: the long pond studio sessions,epiphany - the long pond studio sessions,"4,177,283"
folklore: the long pond studio sessions,exile (feat. Bon Iver),"418,609,018"
folklore: the long pond studio sessions,exile (feat. Bon Iver) - the long pond studio sessions,"21,725,029"
folklore: the long pond studio sessions,hoax,"99,082,286"
folklore: the long pond studio sessions,hoax - the long pond studio sessions,"4,753,853"
folklore: the long pond studio sessions,illicit affairs,"155,558,696"
folklore: the long pond studio sessions,illicit affairs - the long pond studio sessions,"5,852,834"
folklore: the long pond studio sessions,invisible string,"168,523,011"
folklore: the long pond studio sessions,invisible string - the long pond studio sessions,"5,292,387"
folklore: the long pond studio sessions,mad woman,"115,760,782"
folklore: the long pond studio sessions,mad woman - the long pond studio sessions,"4,430,287"
folklore: the long pond studio sessions,mirrorball,"164,244,162"
folklore: the long pond studio sessions,mirrorball - the long pond studio sessions,"6,547,636"
folklore: the long pond studio sessions,my tears ricochet,"198,052,942"
folklore: the long pond studio sessions,my tears ricochet - the long pond studio sessions,"8,341,462"
folklore: the long pond studio sessions,peace,"111,288,884"
folklore: the long pond studio sessions,peace - the long pond studio sessions,"4,406,014"
folklore: the long pond studio sessions,seven,"151,031,216"
folklore: the long pond studio sessions,seven - the long pond studio sessions,"5,560,893"
folklore: the long pond studio sessions,the 1,"282,655,313"
folklore: the long pond studio sessions,the 1 - the long pond studio sessions,"7,380,365"
folklore: the long pond studio sessions,the lakes - bonus track,"65,814,217"
folklore: the long pond studio sessions,the lakes - the long pond studio sessions,"6,033,178"
folklore: the long pond studio sessions,the last great american dynasty,"182,934,479"
folklore: the long pond studio sessions,the last great american dynasty - the long pond studio sessions,"5,682,016"
folklore: the long pond studio sessions,this is me trying,"163,643,303"
folklore: the long pond studio sessions,this is me trying - the long pond studio sessions,"7,544,390"
Red,22 (Taylor's Version),"72,165,230"
Red,All Too Well (10 Minute Version) (Taylor's Version) (From The Vault),"355,305,358"
Red,All Too Well (Taylor's Version),"107,466,394"
Red,Babe (Taylor's Version) (From The Vault),"46,425,202"
Red,Begin Again (Taylor's Version),"38,008,120"
Red,Better Man (Taylor's Version) (From The Vault),"56,244,494"
Red,Come Back...Be Here (Taylor's Version),"41,704,878"
Red,Everything Has Changed (feat. Ed Sheeran) (Taylor???s Version),"49,011,156"
