NAME,STREAMS,DAILY
MY WORLD,"652,395,729","8,077,413"
MY WORLD 2.0,"1,575,312,031","19,947,629"
UNDER THE MISTLETOE,"273,563,691","-779,917,488"
NEVER SAY NEVER REMIXES,"1,054,612,513","783,816,687"
BELIEVE,"1,690,065,940","13,297,508"
BELIEVE ACOUSTIC,"521,388,138","1,464,382"
JOURNALS,"973,287,409","8,322,891"
PURPOSE,"8,454,132,303","35,908,767"
CHANGES,"2,652,891,999","18,187,111"
JUSTICE,"5,530,932,998","101,890,621"
