NAME,PREV
Taylor Swift,"716,345,719"
Fearless,"1,698,185,763"
Live From Clear Channel Stripped 2008,"3,776,491"
Speak Now World tour Live,"80,107,237"
Speak Now,"1,751,038,652"
Red,"2,618,746,816"
1989,"4,162,385,487"
reputation,"4,031,727,371"
reputation - Stadium Tour Surprise Song Playlist,"1,372,884,509"
Lover,"4,497,075,870"
evermore,"2,073,667,099"
folklore,"3,432,629,653"
Red (T.V),"1,946,696,611"
Fearless (T.V),"1,351,524,961"
evermore - bonus,"148,443,559"
